channel,mae,rmse,sde,pearson_r,mean_bias,loa_upper,loa_lower
Systolic,113.19947052001953,114.48701477050781,17.187042236328125,-0.08129857972151408,-113.19947052001953,-79.5128677368164,-146.88607330322264
Diastolic,65.74779510498047,66.95207214355469,12.689671516418457,-0.048591106984756896,-65.74779510498047,-40.8760389328003,-90.61955127716064
